,Q,A,labeling
38, 교통비 때문에 아깝습니다., 교통비가 왜요? 비싸다고 생각이 드시나요?,0
39, 저 지방사는데 회사는 서울이라 기차 타고 출퇴근 하거든요., 그럼 엄청 많은 교통비가 들겠네요 진짜 부담 스럽겠습니다.,0
40, 이사를 할 수 없는 사정이라 기차타고 출퇴근이네요, 서울로 이사를 오는 방법은 어떨까요,0
41, 이사를 할 수 없는 사정이라 기차타고 출퇴근이네요, 금액이 장난이 아니겠어요,0
42, 버스 멀미하거든요., 서울로 이사하는 방법 뿐이네요 이사를 권해 봅니다.,0
43, 신랑이 출근할 때 타고 다닌다고 자전거를 사달라고 해, 회사버스타고 출근한다고 안했어?,0
44, 회사버스타고 다니는데 걸어서 버스타는 곳까지 걸어가야하니까, 아~그럼 사줘도 괜찮지않아?,0
45, 자전거는 조금 위험해보여서, 그러면 오토바이 어때?,0
46, 의견조율이 안되서 걱정이야, 잘 해결되길 바랄께,0
47, 킥보드 타고 출근하다가 넘어졌어요., 어쩌다가 괜찮아요? 다른 사람은 다치지 않았어요?,0
48, 맨홀에 미끄러졌어요. 다른 사람을 묻다니요. 제가 다쳤어요., 위험 하네요 정말 많이 다쳤어요?,0
49, 그냥 안전하게 대중교통 타야겠어요., 이제 킥보드 타지 말고 지하철이나 버스를 이용하세요 너무 위험합니다.,0
50, 그래야겠어요. 빠르게 가려다 먼저 갈 뻔했어요., 그래요 뭐든 조심 조심 해서 다니세요 위험합니다.,0
51, 중고차 보러가는데 구매하는 것이 너무 어려운것같아, 맞아 중고차는 사고차량도 있으니 잘 알아봐야해,0
52, 나보다는 잘 알겠지만 아는언니가 같이 가달라고 하네, 응 중고차는 직접 보고 사야해,0
53,  믿고는 사는데 봐야할 것이 많네, 우리 남편은 사고차량에 민감하더라고,0
54,  믿고는 사는데 봐야할 것이 많네, 어플로 찾아보는것도 추천해,0
55, 웅 가격듣고 놀랐어, 중고차인데도 비싸나 왜 놀랐어?,0
56, 운전면허 난이도에 대한 논란이 많은데 앞으로 어떻게 될까?, 지금까지 필기 난이도가 쉬웠던거지?,0
57, 운전면허 난이도에 대한 논란이 많은데 앞으로 어떻게 될까?, 갈수록 어려워질거 같다는 생각이 드네,0
58, 그렇구나 나는 사실 운전면허의 난이도는 상관없다고 생각해, 아 나는 필기시험은 안봤는데 그정도로 난이도가 낮은거야?,0
59, 그렇구나 나는 사실 운전면허의 난이도는 상관없다고 생각해, 난 사실 실기가 더 중요하다 생각이 드네,0
60, 나는 기본적인 필기시험과 도로주행에 합격하면 그 이후로 도로주행시간을 채운후 면허를 발급하는 방법이 더 좋을 것같아, 실기도 쉽구나 안전이 걸린 문제이니 실기는 좀 더 어려웠으면 좋겠어,0
61, 직업에도 실무경험이 중요하듯이 직접운전을 해보는 시간이 늘어야 도움이 될거야, 뭐든지 실무가 중요하긴 하지,0
62, GTX가 개통되면 요금은 얼마나 할까?, 왠지 비싸서 논란이 있을거 같은 느낌이다,0
63, 나도 왠지 그럴거 같은 느낌이야, 근데 그래도 왠지 타는 사람은 많은 거같아,0
64, 우리동네도 경전철 만들고는 버스노선을 많이 없애버려서 지역주민들이 억지로 탈수 밖에 없었거든, 그런일이 있었구나,0
65, 맞아 수익이 없던 노선부터 얼른 지워버리는 거겠지?, 그치 아무래도 공공기업이 아니니까,0
66, 운전을 하면 욕이 느나요?, 늘더라고요 저는 운전하면 안할 줄 알았는데 가끔 나도 모르게 할 때 있어요,0
67, 운전하면 성격이 나빠진다고해서 걱정이에요, 그렇지만은 않아요 저는 정말~ 한달에 한번 정도도 안되게 욕해요,0
68, 더 안좋아지면 큰일인데 걱정이네요, 무슨 소리예요 지금도 충분히 좋아요,0
69, 운전을 하지 말아야 할지 고민이네요, 운전은 그것보다 많은 이득을 가져와요,0
70, 운전을 하면서 여러가지를 경험하는 것 같아요, 어떤 경험을 말씀하시는 것인가요?,0
71, 깜박이를 안넣고 끼어드는 사람이 정말 무서워요, 그런 분들이 있기에 교통사고가 줄어들지 않는 것 같아요.,0
72, 여기는 그런 사람이 많아서 항상 조심해요, 네. 조심하셔야 할 것 같습니다.,0
73, 여러분은 어떠세요?, 저도 그런 부분을 자꾸 잊어서 운전면허증을 반납했습니다.,0
74, 눈오는날은 버스가 없어지기도 해요, 걱정되시겠습니다. 그런 날은...,0
75, 출근해야 하는데 너무 난감했어요, 그런 날은 회사에서 배려해 주기 힘들까요?,0
76, 그런날은 택시도 안잡혀서 너무 속상해요, 그래서 눈 오는 날은 제 아들이 회사에서 잠을 자나봅니다.,0
77, 그런날은 그냥 다음버스를 타고 지각해요, 저는 그런 날은 아들을 보내고 싶지 않더라고요.,0
78, 전 달에 출퇴근하면서 많이 걸었습니다., 운동이 되셨겠어요,0
79, 덕분에 교통비가 많이 줄었더군요., 운동도 하고 돈도 절약하고 멋지십니다,0
80, 이번 달은 다 지나갔으니 다음 달에 목표를 세워볼까 합니다., 네 다음달에도 열심히 해보세요,0
81, 일주일에 1번만 버스타기. 할 수 있을까요?, 할 수 있으실 겁니다,0
82, 오늘 출근하는데 차에서 신기한 걸 봤어요, 어떤 것을 보셨을까요?,0
83, 뒷차의 아저씨가 운전하면서 코를 파는 거예요, 세상에... 재밌는 구경을 놓쳤네요.,0
84, 웃기는데 운전해야 되서 혼났어요, 출근하시기 전에 웃음으로 시작하셔서 회사 가시는 길이 즐거우셨을 것 같아요.,0
85, 정말 대단한 사람 많아요, 그런데 말이죠. 저도 가끔 운전할 때는 코를 팝니다.,0
86, 운전하다보면 버스 가끔 타도 멀미나는 거 같아, 맞아 나도 그랬었어,0
87, 근데 버스만 계속 타면 멀미나는지 모르겠더라, 그렇긴하지 그래도 버스만 계속 타고 다닐순 없잖아,0
88, 근데 신기한데 기차 타면 멀미 안하더라, 맞아 운전 계속 하다가 기차 타면 멀미 안해 키키,0
89, 근데 왜 버스만 멀미할까?, 그러게 폐쇄된 공간에 사람이 많아서 인가?,0
90, 그럴수도 있겠네! 오랜만에 버스탔더니 힘들어ㅠㅠ, 그럼 오늘 푹쉬어!,0
91, 동네에 큰 마트몇개나 있어?, 우리 동네는 마트가 두 개 있어요,0
92, 동네에 작은 마트는 있는데  안 파는 물건이 많아서 좀 불편해, 동네에 큰 마트가 있는 게 편하고 좋아요,0
93, 대형마트는 돈 많이 쓸까봐 무서워서 못 가고 있어, 맞아요 마트만가면 돈이 엄청 나와서 저도 가기싫어 지더라고요,0
94, 생각보다 대형마트 갈 일이 없을줄 알았는데 의외로 많네, 그래도 물건은 보고 사는게 좋아서 마트가는걸 좋아하지요,0
95, 온라인 구매는 물건을 직접 못보는게 불편하긴 하지, 작은 마트는 안 파는 물건이 많아서 좀 불편하긴 해요,0
96, 요즘 미니멀 라이프가 대세잖아, 응 괜찮은 것 같아,0
97, 나도 하고 싶은데 쉽지 않네, 당연히 쉽지 않지,0
98, 모은건 쉬워도 버리는건 어려워, 다들 버리는거 아까워 하니깐,0
99, 맞아 왜이렇게 아까운거야, 어짜피 안쓸거 과감히 버려,0
100, 그래야겠어 마음 굳게 먹고, 도와줄게 싹 정리해보자,0
101, 넌 편세권이야? 역세권이야?, 아~ 난 편세권을 더 선호해.,0
102, 넌 편세권이야? 역세권이야?, 내가 대중교통 보다 자차를 이용하거든,0
103, 밤늦게 가도 장사하는 곳이지, 물건도 마트만큼은 아니지만 다양한 물건을 살 수 있어,0
104, 내가 사는 곳엔 지하철이 없어서 그래 키키, 다들 역세권 역세권 하는데 딱히 난 메리트를 못 느껴,0
105, 그래도 대중교통 생각하면 역세권이 좋긴 하지, 뭐 자주 이용해야 하면 정말 좋지,0
106, 역세권이 집값도 더 비싸, 맞아 역만 들어오면 집값이 그냥 훅 올라가,0
107, 나 청약통장 깰까 고민중이야, 청약통장을? 아까워 깨지마,0
108, 급하게 돈이 필요해서, 대출이 왜 갑자기 필요한데?,0
109, 집 앞에 상가건물 매물이 싸게 올라왔더라구, 그래도 청약통장 깨기엔 아까운데,0
110, 요즘 대출도 잘 안나와서 힘들어, 청약통장을 보증으로 하는 대출 알아봐,0
111, 어머나 그런게 있어?, 응 통장은 깨지마 절대!,0
112, 요즘 전세가 있긴해?, 가끔 드물게 있대 왜?,0
113, 나 이번에 곧 이사잖아..., 그래서 전세로 갈려고?,0
114, 응 이번 집에서 전세가 올려달래서 옮길려고, 아 정말? 어디로 가게?,0
115, 아직 안정했는데 지금 가격선으로 알아봐야지, 근데 전세 지금 잘 안나와서 걱정이겠다,0
116, 맞아 그래서 아직 이사 기간 남았는데 알아보고 있어ㅠ, 곧 좋은 전세 나올거야 걱정마!,0
117,집 인테리어 어떻게 했어?, 왜 리모델링 하려고?,0
118, 가구 배치를 바꾸고 싶어졌어, 난 인터넷이랑 잡지 보고 따라 했어,0
119, 벤치마킹으로 했구나, 응 인터넷에 검색하면 전문가들이 올린 사진 많아,0
120, 나도 인터넷 서치 해야겠다, 참고로 이케아 사이트 가도 돼,0
121, 이케아 사이트에 뭐 있어?, 쇼룸 식으로 인테리어 완성본이 올라와 있어,0
122, 인테리어 해보셨어요?, 저 해봤어요.,0
123, 인테리어 해보셨어요?,이전 집에서 인테리어 했었어요.,0
124, 정말요? 몇 평에 얼마 정도였어요?, 저는 20평에 다해서 2000만원 정도 들었어요.,0
125, 전 잘 몰라서요, 보통 평당 80~100만원 잡고 하는데 저희는 좀 싸게 한 편이에요.,0
126, 어떻게 그렇게 하셨어요? 궁금합니다., 처음에 계약할 때 꼼꼼하게 체크했어요,0
127, 저도 나중에 인테리어하면 체크 해야겠어요., 제가 나중에 도와드리겠습니다.,0
128, 남향이랑 남서향이랑 차이가 크나?, 창문 방향 차이인데 대체로 남향을 선호하지,0
129, 남서향도 햇볕 많이 들어오지 않아?, 남동보다는 나도 남서향이 좋은 거 같아,0
130, 남동은 아침에 너무 해가 빨리 들고 빨리 지잖아, 난 아침형 인간이 아니라서 남동보단 남서가 맞아,0
131, 사람 생활 패턴도 고려해야 하구나, 그렇지 아파트는 특히 그런 게 있어.,0
132, 사람 생활 패턴도 고려해야 하구나,더구나 고층은 더 잘 생각해,0
133, 춥거나 덥거나 하진 않지?, 요즘엔 단열이 잘 돼서 크게 문제 없어,0
134, 라이프스타일에서 어때?, 난 미니멀 라이프를 즐겨,0
135, 미니멀 라이프면 집에 짐이 많이 없겠네, 응 가구도 필요한 거 외에 안 들여 뒀어,0
136, 나도 미니멀 라이프 하고 싶은데 쉽지 않네, 버리는게 어려워서 그렇지?,0
137, 언젠가 또 사용할 거 같은 생각이 들어, 그런 걸 포기 할  줄 알아야 돼,0
138, 버리는 물건 기준이 있어?, 응 1년 안에 한 번도 사용 안 한건 다 버려,0
139, 너네 집 근처에 편의점 많아?, 아니ㅠㅠ 걸어서 쫌 나가야 돼,0
140, 엄청 불편하겠다, 응 집 고르는데 편세권도 진짜 중요해,0
141, 그러니까 우리 집 밑에는 편의점 있어서 너무 편해, 진짜 부럽다 나는 편의점 가려면 많이 걸어야해,0
142, 특히 자취생들은 편의점 필수 잖아, 그치 집 주변 환경중에 그거 제일 필요해ㅠㅠ,0
143, 그래도 너네 집 근처는 깨끗하고 조용하자나, 그건 그래 키키 층간 소음도 없고,0
144,나 요즘 인테리어에 관심이 많아져서 집좀 꾸미고 싶더라,나도! 그래서 이번에 무드등 하나 사려고! 너는?,0
145,오 무드등 좋지. 나는 집에 조명이 많아서 무드등은 말고 액자나 소품들 사고싶어,액자 좋다! 그림이나 사진 있으면 분위가 달라지지,0
146,"맞아 근데 가격대가 꽤 나가더라구, 추천 하는 소품 있어?",장식용 식물도 많으니까 그것도 한번 알아봐!,0
147,그것도 알아볼게. 고마워.  너도 키우는거 있어?,나는 스투키 키우고 있는데 관리할 필요 없고 좋아!,0
148, 나도 한번 찾아볼게,그래 집안에 식물 하나 있으면 좋더라고!,0
149, 나 운전면허 준비 중이야., 한 번 만에 붙도록 열심히 해.,0
150, 나 필기시험 준비 중이야., 필기시험 예상 문제 내줄까?,0
151," 알겠어, 쉬운 걸로 내줘.", 교통사고가 났을 때 현장에 운전자가 가장 먼저 취해야 하는 것은?,0
152," 오, 정답 맞혔어. 잘아는데", 즉시 정차 후에 어떻게 해야 하게?,0
153, 우리 남편 아직도 면허가 없어., 저희 남편도 면허증이 없어서 결혼하자마자 면허증 따라고 했어요,0
154, 제가 늘 운전하고 회식하면 모시러가고 하니까 딸 생각을 안 하네요., 없으면 참 불편하지요,0
155, 어렵지 않아요. 해 보세요., 어려운 건 둘째 치고 너무 무서워요,0
156, 네. 보통은 필기시험부터 보더라고요., 일기 시험을 붙어야 실기시험을 봐요,0
157, 운전면허를 딴 지가 15년인데 장농면허예요., 전 면허가 아예 없어요,0
158, 운전면허를 딴 지가 15년인데 장농면허예요., 무서워서 용기내지 못했어요,0
159, 다시 연수해야 될 것 같은데 그냥 돈 주고 배우는 게 낫겠어요., 그럼요 운전은 가족에게 배우는거 아니래요,0
160, 넘어진 적 있어서 포기했어요., 그건 보기만 해도 아찔 합니다.,0
161, 맞아요. 환승해야 해서 대중교통도 불편해요., 다들 운전을 하셔야 겠어요 결론은 자차네요,0
162, 전동 킥보드 탑승자가 최대 몇 명인 줄 알아?, 1명밖에 못 타잖아.,0
163, 3명 탄 거면 불법이야.," 맞아, 1명만 탈 수 있어.",0
164," 당연하지, 그래도 2명 타는 사람 많더라.", 단속을 더 엄격하게 해야 해.,0
165, 보호장구도 착용 안 하는 사람 많아., 보호장구는 무조건 착용해야 하는데.,0
166, 한국의 대중교통은 세계제일이야 하지만 여기서 더 발전해야할 부분이 있을까?, 확실히 서울은 잘되어있지만 지방쪽은 아직 많이 부족한거 같아,0
167, 한국의 대중교통은 세계제일이야 하지만 여기서 더 발전해야할 부분이 있을까?, 버스회사들의 투명성도 확보를 해야할거 같아,0
168, 택시기사의 독점? 그건 뭐야?, 맞아 택시기사의 독점은 나도 처음 들어봐,0
169, 아 그렇구나 근데 카카오택시는 편한거 아닌가?, 최근 이슈 됐던 그 카카오택시를 말하는건가,0
170, 너네 운전면허 있어?, 난 스무살 되자 마자 땄어!,0
171, 나도 사실 무서워서 못 따겠더라..., 야 왜 그래! 생각보다 별 거 아니야.,0
172," 오, 베스트 드라이버?"," 그 정돈 아니고, 그냥 아주 못하진 않지.",0
173, 나도. 그냥 신분증 하나 더 생긴 사람 될 것 같아., 다음에 한 번 드라이브 시켜 줄게.,0
174, 지하철 있는 곳에서 지하철 없는 곳으로 오니까 불편한 게 너무 느껴지더라., 아무래도 지하철이 교통체증도 없고 빠르게 도착하니까.,0
175, 지금 공사 중인데 곧 생길 것 같아., 그래도 곧 지하철역 생겨서 다행이다.,0
176, 그리고 버스 막차시간이 지하철역 막차 시간보다 빠른 것 같아., 그러한 점 때문에 나는 버스보다 지하철을 더 선호해.,0
177, 시간은 오래 걸려도 그 점이 너무 좋아서 걷기 싫을 땐 버스를 타기도 해., 나는 지하철 타고 간 후 환승해서 버스 타고 이동하는데 편하더라.,0
178, 급하게 나오느라 보조 배터리를 놓고 왔어..., 충전할 곳 없으려나.,0
179, 버스에 충전기를 꽂을 수 있어?, 요즘은 되는 버스가 있더라.,0
180, 요즘 세상 좋아졌다., 나도 다음에 안 가져왔을때 참고해야겠다.,0
181, 케이블은 다행히 가져왔어.," 그건 가져와서 다행이네,",0
182, 집 근처에 지하철이 있으면 좋겠어.," 나도, 그런데 그런 곳은 너무 비싸.",0
183, 가장 부러운건 편의시설이 많이 생긴다는 거야., 맞아 뭔가 조금이라도 이슈되는건 다 역 근처에 있어.,0
184," 나도 그게 부러워, 찾아가려면 버스로 1시간은 기본이야.", 버스보다 지하철이 더 빨리 가니까 시간소모가 훨씬 줄텐데.,0
185," 그럴 때 많아, 그래서 나는 약속시간 맞추려면 귀찮아도 환승해서 지하철타고 가.", 약속시간 맞추려면 지하철이 편해.,0
186, 나 오늘 경기도에 놀러 갔는데 버스비가 서울보다도 비싸더라., 맞아. 경기도 버스비 자꾸 올라서 지금 1500원 됐잖아.,0
187, 이렇게 자꾸 올라서 교통비가 한 달에 얼마가 드는 건지., 어쩔 수 없이 올린다고는 하지만 부담되는 건 사실이야.,0
188, 그렇지? 하지만 그렇다고 택시를 타기엔 그것도 비싸고., 택시는 어쩌다 한 번 타는 것 아니면 너무 많이 드니까.,0
189, 여럿이 타면 버스보다 오히려 더 쌀 때도 있고 말야., 사실 가끔은 택시타면 기분전환도 되고 좋더라.,0
190, 오늘 아침수업있는데 차가 막혀서 지각했어., 헉 아침수업이면 출근시간이랑 겹친건가.,0
191, 많이는 안늦었지만 늦게 들어가려니 눈치가 보이더라고., 버스 타게 되면 그게 문제인거 같아.,0
192, 나는 수업이니까 괜찮은데 직장인이면 힘들 거 같아.," 그래서 평소엔 일찍 출발하는데, 가끔 생각지도 못하게 막힐 때가 있어.",0
193, 사고 나면 엄청 늦어질텐데 힘들겠다., 그렇지만 대중교통도 출근시간엔 사람이 많아서 힘들어.,0
194, 수중터널이 나오면 어떨까?, 일본하고 잇는 수중터널 말하는거야?,0
195, 응 그런데 뭔가 이용하기엔 무서울 거 같아서, 마자 영화 터널 처럼 말이야,0
196, 사고에 대비가 잘 안될거 같은 기분이 들어, 사고가 나도 대응하기 힘들긴 할거 같아,0
197, 사고에 대비가 잘 안될거 같은 기분이 들어, 아무래도 낮은 곳이니 기압도 다를거고,0
198, 신호위반 승차거부 차선물기 등등... 어떻게 해결해야할까?, 택시 개체수가 너무 많은거 같아...,0
199, 신호위반 승차거부 차선물기 등등... 어떻게 해결해야할까?, 좀더 전문화 된 기사들을 뽑는게 좋지 않을까 싶어,0
200, 맞아 우선 개체수부터 줄이고 제대로 된 교육도 필수지, 택시보다 더 급선무인게 레카 아닐까? 무법자야 얘넨,0
201, 사설 렉카들을 말하는 거구나 이친구들도 참 문제지, 굳이 필요없는데 계속 운행하는거 보면 규제가 안되나봐,0
202, 지난달 교통비 5만원 나왔어., 왜 그렇게 많이 나왔어?,0
203, 맞아 서울 왔다갔다 하면 기본이 4천원이니까., 헉 비싸네. 그런 거 치고 별로 안 나왔다.,0
204, 그리고 여행도 다녀왔더니 더 많이 나온 거 같아., 여행이면 완전 인정이다.,0
205, 다음달에는 좀 작작 다녀야겠어., 집에만 있으면 심심하니까 그러지 말어.,0
206, 운전 면허 학원 등록해야 하는데 떨린다., 언니 면허 없었구나.,0
207, 그 동안 운전하는 거 자체가 무서워서 엄두를 못 냈지., 운전 막상 배우면 별거 아니야.,0
208, 헉 너희 다 면허 있구나?, 나 근데 딴지 너무 오래돼서 장롱면허야.,0
209, 우리 여동생도 딴지 몇달만에 장롱행 됐어., 언니 두려움을 버려.,0
210, 오랜만에 자전거 타고 싶어., 나도 안 탄지 엄청 오래됐어.,0
211, 한 번 배우면 타기 쉬운데.,  내가 자전거 타는 법 알려줄게.,0
212," 응, 나는 자주 타서 자전거 있어.", 나는 옛날에 쓰던 거 있어.,0
213," 응, 상태 안 좋을 수도 있어.", 그래서 자전거 점검하러 가려고.,0
214, 나 오늘 출근하는데 한 시간 걸렸다 ㅠ 버스 너무 막혀, 나는 집가까운 곳으로 출근해서 걸어서 왔어,0
215, 버스는 막히면 진짜 한참 걸리잖아 ㅠㅠ, 맞아 진짜 메리트가 큰 거 같아.,0
216, 버스는 막히면 진짜 한참 걸리잖아 ㅠㅠ, 예전에 회사 다닐 때는 왕복 3시간 이상 걸렸었거든ㅠㅠ,0
217, 그래도 지하철은 막히진 않아서 나름 괜찮아, 예전에 서울에서 살 때는 진짜 처음에 충격 받았었어.,0
218, 그래도 지하철은 막히진 않아서 나름 괜찮아, 사람들이 지하철을 왜 지옥철이라고 부르는 지 알겠더라고.,0
219, 서울 지하철에 사람이 좀 많긴 하지 ㅠㅠ, 그래도 대중교통이 가격도 저렴하고 환승도 할 수 있어서 자주 이용하는 거 같아,0
220, 길거리에 있는 전동킥보드 이대로 괜찮을까?, 너무 여기저기 주차되어있더라,0
221, 길거리에 있는 전동킥보드 이대로 괜찮을까?, 그렇구나 시각장애인 분들에게 더 위험하겠네,0
222, 분명 잘 관리된다면 편리한 부분이 많을텐데 유독 통제가 안되더라고, 아무래도 제도가 만들어 지기 전에 업체들이 먼저 들어와서 그런거 같아,0
223, 헬멧쓰라고 하는데 아직도 안쓰는 사람 많더라 그거 다 위법인데, 맞아 아무래도 귀찮으니 계속 안쓰고 타나봐,0
224, 대중교통 무임승차에 대해 어떻게 생각해?, 그 작은 돈에 양심을 파는 건 좀 아니라고 봐.,0
225, 그렇지? 나도 예전에 실수로 카드를 안 찍고 탔다가 기사님이 뭐라고 하신 적이 있는데 너무 부끄럽더라, 난 돈을 실수로 덜 낸 적 있었는데 사람들이 쳐다 봐서 너무 창피했어.,0
226, 가끔 보면 어른들이 고의로 무임승차하고 그러더라고, 정말? 어떤 상황에서 그랬어? 조금 실망이네,0
227, 사람이 막 몰려서 누가 찍었는지 모를 상황이었는데 눈치 보시더니 그냥 가시더라고, 와 너무하시네. 그리고 그냥 타신거야?,0
228, 응. 내가 계속 봤는데 결국 그냥 돈 안내시고 내리시더라, 내가 다 부끄럽네... 왜 그러셨을까.,0
229, 요새 자율주행차가 뜨는거 같더라, 아직은 시기상조인 느낌이 들던데...,0
230, 그래도 최소한 운전면허는 있어야 하지 않을까?, 만일의 상황에서 어떻게 될지 모르니까 말이야,0
231, 운전을 해보니까 짧게 운전 하더라도 신경써야 할게 많으니까 스트레스가 있어, 그걸 보완하는게 자율주행 아닐까? 편리하긴 할거야.,0
232, 나도 그건 동의해 지금 문제가 있는점만 해결이 된다면 타고다닐 의향이 있어, 불안한게 더 크긴 하지만 장점이 훨씬 많다고 생각해,0
233, 나 운전면허를 따려는데 1종이 좋을까 2종이 좋을까?, 나라면 무조건 2종을 딸 것 같아.,0
234, 말이 갈리네. 다들 이유가 뭐야?, 솔직히 요즘 스틱인 차가 어딨어. 다 오토잖아~,0
235, 말이 갈리네. 다들 이유가 뭐야?, 굳이 힘들게 1종 따지 말고 편하고 쉽게 2종 따는 게 맞지 않을까?,0
236, 하긴 트럭이나 버스를 몰 것도 아닌데 굳이 1종을 딸 필요는 없겠다 하하, 그렇지! 1종 따려다가 괜히 시험 떨어져서 재시험비로만 돈 엄청 나가ㅠㅠ,0
237, 헐... 그럼 난 2종을 따야겠다., 잘 생각했어. 돈 아껴야지~,0
238, 오 진짜? 시뮬레이션으로 연습하는 건가 보네? 신기하다!, 나 같은 경우는 기능까지는 시뮬레이션 학원에서 하고 도로 주행은 신도림 쪽 학원으로 가서 실제 차로 연습했어!,0
239, 오 진짜? 시뮬레이션으로 연습하는 건가 보네? 신기하다!, 아무래도 도로 주행은 시뮬레이션만으로는 어렵다더라고.,0
240, 나 이제 역에 내렸어 여기서 어디로 가면 돼?, 우리 지금 마트에서 장 보는 중이야 롯데마트 지도에 검색해서 와,0
241, 음... 지도에선 버스 두 번이나 갈아타야 된다는데 이거 맞아?, 우리는 차 타고 와서 잘 몰라,0
242, 아 너무 복잡한데 먼저 숙소에 가 있으면 안될까?, 그래도 괜찮을 것 같긴 하다,0
243, 아 너무 복잡한데 먼저 숙소에 가 있으면 안될까?, 여기 사람 수가 많아서 손이 부족하지는 않을 것 같아,0
244, 응 숙소 가서 먼저 짐 풀고 주변 둘러보고 있을게, 대신 가서 사장님한테 할인 이벤트 얘기 해놔,0
245, 알았어 천천히 장 보고 와, 응 뭐 먹고 싶은 거 있어? 여기서 사 갈게,0
246, 다들 자율주행차에 대해 어떻게 생각해?, 정말 편리한 시스템인 거 같아. 운전하는 거 피곤하잖아,0
247, 그치? 근데 오작동이나 그런 일이 있을 거 같아 약간 무섭더라, 그렇네. 오작동 하면 그대로 큰 사고로 이어질 수 있잖아,0
248, 정말? 근데 그래도 자동으로 운전하면 아예 신경을 안 쓰고 있을텐데 반응 할 수 있을까?, 나도 그게 걱정이야.,0
249, 정말? 근데 그래도 자동으로 운전하면 아예 신경을 안 쓰고 있을텐데 반응 할 수 있을까?, 그렇다고 운전을 계속 신경 쓰면 자율운전의 의미가 없는 것 같기도 하고.,0
