,Q,A
82,1 : 오늘 출근하는데 차에서 신기한 걸 봤어요,2 : 어떤 것을 보셨을까요?
83,1 : 뒷차의 아저씨가 운전하면서 코를 파는 거예요,2 : 세상에... 재밌는 구경을 놓쳤네요.
84,1 : 웃기는데 운전해야 되서 혼났어요,2 : 출근하시기 전에 웃음으로 시작하셔서 회사 가시는 길이 즐거우셨을 것 같아요.
85,1 : 정말 대단한 사람 많아요,2 : 그런데 말이죠. 저도 가끔 운전할 때는 코를 팝니다.
86,1 : 운전하다보면 버스 가끔 타도 멀미나는 거 같아,2 : 맞아 나도 그랬었어
87,1 : 근데 버스만 계속 타면 멀미나는지 모르겠더라,2 : 그렇긴하지 그래도 버스만 계속 타고 다닐순 없잖아
88,1 : 근데 신기한데 기차 타면 멀미 안하더라,2 : 맞아 운전 계속 하다가 기차 타면 멀미 안해 키키
89,1 : 근데 왜 버스만 멀미할까?,2 : 그러게 폐쇄된 공간에 사람이 많아서 인가?
90,1 : 그럴수도 있겠네! 오랜만에 버스탔더니 힘들어ㅠㅠ,2 : 그럼 오늘 푹쉬어!
91,1 : 동네에 큰 마트몇개나 있어?,2 : 우리 동네는 마트가 두 개 있어요
92,1 : 동네에 작은 마트는 있는데  안 파는 물건이 많아서 좀 불편해,2 : 동네에 큰 마트가 있는 게 편하고 좋아요
93,1 : 대형마트는 돈 많이 쓸까봐 무서워서 못 가고 있어,2 : 맞아요 마트만가면 돈이 엄청 나와서 저도 가기싫어 지더라고요
94,1 : 생각보다 대형마트 갈 일이 없을줄 알았는데 의외로 많네,2 : 그래도 물건은 보고 사는게 좋아서 마트가는걸 좋아하지요
95,1 : 온라인 구매는 물건을 직접 못보는게 불편하긴 하지,2 : 작은 마트는 안 파는 물건이 많아서 좀 불편하긴 해요
96,1 : 요즘 미니멀 라이프가 대세잖아,2 : 응 괜찮은 것 같아
97,1 : 나도 하고 싶은데 쉽지 않네,2 : 당연히 쉽지 않지
98,1 : 모은건 쉬워도 버리는건 어려워,2 : 다들 버리는거 아까워 하니깐
99,1 : 맞아 왜이렇게 아까운거야,2 : 어짜피 안쓸거 과감히 버려
100,1 : 그래야겠어 마음 굳게 먹고,2 : 도와줄게 싹 정리해보자
101,1 : 넌 편세권이야? 역세권이야?,2 : 아~ 난 편세권을 더 선호해.
102,1 : 넌 편세권이야? 역세권이야?,2 : 내가 대중교통 보다 자차를 이용하거든
103,1 : 밤늦게 가도 장사하는 곳이지,2 : 물건도 마트만큼은 아니지만 다양한 물건을 살 수 있어
104,1 : 내가 사는 곳엔 지하철이 없어서 그래 키키,2 : 다들 역세권 역세권 하는데 딱히 난 메리트를 못 느껴
105,1 : 그래도 대중교통 생각하면 역세권이 좋긴 하지,2 : 뭐 자주 이용해야 하면 정말 좋지
106,1 : 역세권이 집값도 더 비싸,2 : 맞아 역만 들어오면 집값이 그냥 훅 올라가
107,1 : 나 청약통장 깰까 고민중이야,2 : 청약통장을? 아까워 깨지마
108,1 : 급하게 돈이 필요해서,2 : 대출이 왜 갑자기 필요한데?
109,1 : 집 앞에 상가건물 매물이 싸게 올라왔더라구,2 : 그래도 청약통장 깨기엔 아까운데
110,1 : 요즘 대출도 잘 안나와서 힘들어,2 : 청약통장을 보증으로 하는 대출 알아봐
111,1 : 어머나 그런게 있어?,2 : 응 통장은 깨지마 절대!
112,1 : 요즘 전세가 있긴해?,2 : 가끔 드물게 있대 왜?
113,1 : 나 이번에 곧 이사잖아...,2 : 그래서 전세로 갈려고?
114,1 : 응 이번 집에서 전세가 올려달래서 옮길려고,2 : 아 정말? 어디로 가게?
115,1 : 아직 안정했는데 지금 가격선으로 알아봐야지,2 : 근데 전세 지금 잘 안나와서 걱정이겠다
116,1 : 맞아 그래서 아직 이사 기간 남았는데 알아보고 있어ㅠ,2 : 곧 좋은 전세 나올거야 걱정마!
117,1 :집 인테리어 어떻게 했어?,2 : 왜 리모델링 하려고?
118,1 : 가구 배치를 바꾸고 싶어졌어,2 : 난 인터넷이랑 잡지 보고 따라 했어
119,1 : 벤치마킹으로 했구나,2 : 응 인터넷에 검색하면 전문가들이 올린 사진 많아
120,1 : 나도 인터넷 서치 해야겠다,2 : 참고로 이케아 사이트 가도 돼
121,1 : 이케아 사이트에 뭐 있어?,2 : 쇼룸 식으로 인테리어 완성본이 올라와 있어
122,1 : 인테리어 해보셨어요?,2 : 저 해봤어요.
123,1 : 인테리어 해보셨어요?,2 :이전 집에서 인테리어 했었어요.
124,1 : 정말요? 몇 평에 얼마 정도였어요?,2 : 저는 20평에 다해서 2000만원 정도 들었어요.
125,1 : 전 잘 몰라서요,2 : 보통 평당 80~100만원 잡고 하는데 저희는 좀 싸게 한 편이에요.
126,1 : 어떻게 그렇게 하셨어요? 궁금합니다.,2 : 처음에 계약할 때 꼼꼼하게 체크했어요
127,1 : 저도 나중에 인테리어하면 체크 해야겠어요.,2 : 제가 나중에 도와드리겠습니다.
128,1 : 남향이랑 남서향이랑 차이가 크나?,2 : 창문 방향 차이인데 대체로 남향을 선호하지
129,1 : 남서향도 햇볕 많이 들어오지 않아?,2 : 남동보다는 나도 남서향이 좋은 거 같아
130,1 : 남동은 아침에 너무 해가 빨리 들고 빨리 지잖아,2 : 난 아침형 인간이 아니라서 남동보단 남서가 맞아
131,1 : 사람 생활 패턴도 고려해야 하구나,2 : 그렇지 아파트는 특히 그런 게 있어.
132,1 : 사람 생활 패턴도 고려해야 하구나,2 :더구나 고층은 더 잘 생각해
133,1 : 춥거나 덥거나 하진 않지?,2 : 요즘엔 단열이 잘 돼서 크게 문제 없어
134,1 : 라이프스타일에서 어때?,2 : 난 미니멀 라이프를 즐겨
135,1 : 미니멀 라이프면 집에 짐이 많이 없겠네,2 : 응 가구도 필요한 거 외에 안 들여 뒀어
136,1 : 나도 미니멀 라이프 하고 싶은데 쉽지 않네,2 : 버리는게 어려워서 그렇지?
137,1 : 언젠가 또 사용할 거 같은 생각이 들어,2 : 그런 걸 포기 할  줄 알아야 돼
138,1 : 버리는 물건 기준이 있어?,2 : 응 1년 안에 한 번도 사용 안 한건 다 버려
139,1 : 너네 집 근처에 편의점 많아?,2 : 아니ㅠㅠ 걸어서 쫌 나가야 돼
140,1 : 엄청 불편하겠다,2 : 응 집 고르는데 편세권도 진짜 중요해
141,1 : 그러니까 우리 집 밑에는 편의점 있어서 너무 편해,2 : 진짜 부럽다 나는 편의점 가려면 많이 걸어야해
142,1 : 특히 자취생들은 편의점 필수 잖아,2 : 그치 집 주변 환경중에 그거 제일 필요해ㅠㅠ
143,1 : 그래도 너네 집 근처는 깨끗하고 조용하자나,2 : 그건 그래 키키 층간 소음도 없고
144,1 :나 요즘 인테리어에 관심이 많아져서 집좀 꾸미고 싶더라,2 :나도! 그래서 이번에 무드등 하나 사려고! 너는?
145,1 :오 무드등 좋지. 나는 집에 조명이 많아서 무드등은 말고 액자나 소품들 사고싶어,2 :액자 좋다! 그림이나 사진 있으면 분위가 달라지지
146,"1 :맞아 근데 가격대가 꽤 나가더라구, 추천 하는 소품 있어?",2 :장식용 식물도 많으니까 그것도 한번 알아봐!
147,1 :그것도 알아볼게. 고마워.  너도 키우는거 있어?,2 :나는 스투키 키우고 있는데 관리할 필요 없고 좋아!
148,1 : 나도 한번 찾아볼게,2 :그래 집안에 식물 하나 있으면 좋더라고!
149,1 : 나 운전면허 준비 중이야.,2 : 한 번 만에 붙도록 열심히 해.
150,1 : 나 필기시험 준비 중이야.,2 : 필기시험 예상 문제 내줄까?
151,"1 : 알겠어, 쉬운 걸로 내줘.",2 : 교통사고가 났을 때 현장에 운전자가 가장 먼저 취해야 하는 것은?
152,"1 : 오, 정답 맞혔어. 잘아는데",2 : 즉시 정차 후에 어떻게 해야 하게?
153,1 : 우리 남편 아직도 면허가 없어.,2 : 저희 남편도 면허증이 없어서 결혼하자마자 면허증 따라고 했어요
154,1 : 제가 늘 운전하고 회식하면 모시러가고 하니까 딸 생각을 안 하네요.,2 : 없으면 참 불편하지요
155,1 : 어렵지 않아요. 해 보세요.,2 : 어려운 건 둘째 치고 너무 무서워요
156,1 : 네. 보통은 필기시험부터 보더라고요.,2 : 일기 시험을 붙어야 실기시험을 봐요
157,1 : 운전면허를 딴 지가 15년인데 장농면허예요.,2 : 전 면허가 아예 없어요
158,1 : 운전면허를 딴 지가 15년인데 장농면허예요.,2 : 무서워서 용기내지 못했어요
159,1 : 다시 연수해야 될 것 같은데 그냥 돈 주고 배우는 게 낫겠어요.,2 : 그럼요 운전은 가족에게 배우는거 아니래요
160,1 : 넘어진 적 있어서 포기했어요.,2 : 그건 보기만 해도 아찔 합니다.
161,1 : 맞아요. 환승해야 해서 대중교통도 불편해요.,2 : 다들 운전을 하셔야 겠어요 결론은 자차네요
162,1 : 전동 킥보드 탑승자가 최대 몇 명인 줄 알아?,2 : 1명밖에 못 타잖아.
163,1 : 3명 탄 거면 불법이야.,"2 : 맞아, 1명만 탈 수 있어."
164,"1 : 당연하지, 그래도 2명 타는 사람 많더라.",2 : 단속을 더 엄격하게 해야 해.
165,1 : 보호장구도 착용 안 하는 사람 많아.,2 : 보호장구는 무조건 착용해야 하는데.
166,1 : 한국의 대중교통은 세계제일이야 하지만 여기서 더 발전해야할 부분이 있을까?,2 : 확실히 서울은 잘되어있지만 지방쪽은 아직 많이 부족한거 같아
167,1 : 한국의 대중교통은 세계제일이야 하지만 여기서 더 발전해야할 부분이 있을까?,2 : 버스회사들의 투명성도 확보를 해야할거 같아
168,1 : 택시기사의 독점? 그건 뭐야?,2 : 맞아 택시기사의 독점은 나도 처음 들어봐
169,1 : 아 그렇구나 근데 카카오택시는 편한거 아닌가?,2 : 최근 이슈 됐던 그 카카오택시를 말하는건가
170,1 : 너네 운전면허 있어?,2 : 난 스무살 되자 마자 땄어!
171,1 : 나도 사실 무서워서 못 따겠더라...,2 : 야 왜 그래! 생각보다 별 거 아니야.
172,"1 : 오, 베스트 드라이버?","2 : 그 정돈 아니고, 그냥 아주 못하진 않지."
173,1 : 나도. 그냥 신분증 하나 더 생긴 사람 될 것 같아.,2 : 다음에 한 번 드라이브 시켜 줄게.
174,1 : 지하철 있는 곳에서 지하철 없는 곳으로 오니까 불편한 게 너무 느껴지더라.,2 : 아무래도 지하철이 교통체증도 없고 빠르게 도착하니까.
175,1 : 지금 공사 중인데 곧 생길 것 같아.,2 : 그래도 곧 지하철역 생겨서 다행이다.
176,1 : 그리고 버스 막차시간이 지하철역 막차 시간보다 빠른 것 같아.,2 : 그러한 점 때문에 나는 버스보다 지하철을 더 선호해.
177,1 : 시간은 오래 걸려도 그 점이 너무 좋아서 걷기 싫을 땐 버스를 타기도 해.,2 : 나는 지하철 타고 간 후 환승해서 버스 타고 이동하는데 편하더라.
178,1 : 급하게 나오느라 보조 배터리를 놓고 왔어...,2 : 충전할 곳 없으려나.
179,1 : 버스에 충전기를 꽂을 수 있어?,2 : 요즘은 되는 버스가 있더라.
180,1 : 요즘 세상 좋아졌다.,2 : 나도 다음에 안 가져왔을때 참고해야겠다.
181,1 : 케이블은 다행히 가져왔어.,"2 : 그건 가져와서 다행이네,"
182,1 : 집 근처에 지하철이 있으면 좋겠어.,"2 : 나도, 그런데 그런 곳은 너무 비싸."
183,1 : 가장 부러운건 편의시설이 많이 생긴다는 거야.,2 : 맞아 뭔가 조금이라도 이슈되는건 다 역 근처에 있어.
184,"1 : 나도 그게 부러워, 찾아가려면 버스로 1시간은 기본이야.",2 : 버스보다 지하철이 더 빨리 가니까 시간소모가 훨씬 줄텐데.
185,"1 : 그럴 때 많아, 그래서 나는 약속시간 맞추려면 귀찮아도 환승해서 지하철타고 가.",2 : 약속시간 맞추려면 지하철이 편해.
186,1 : 나 오늘 경기도에 놀러 갔는데 버스비가 서울보다도 비싸더라.,2 : 맞아. 경기도 버스비 자꾸 올라서 지금 1500원 됐잖아.
187,1 : 이렇게 자꾸 올라서 교통비가 한 달에 얼마가 드는 건지.,2 : 어쩔 수 없이 올린다고는 하지만 부담되는 건 사실이야.
188,1 : 그렇지? 하지만 그렇다고 택시를 타기엔 그것도 비싸고.,2 : 택시는 어쩌다 한 번 타는 것 아니면 너무 많이 드니까.
189,1 : 여럿이 타면 버스보다 오히려 더 쌀 때도 있고 말야.,2 : 사실 가끔은 택시타면 기분전환도 되고 좋더라.
190,1 : 오늘 아침수업있는데 차가 막혀서 지각했어.,2 : 헉 아침수업이면 출근시간이랑 겹친건가.
191,1 : 많이는 안늦었지만 늦게 들어가려니 눈치가 보이더라고.,2 : 버스 타게 되면 그게 문제인거 같아.
192,1 : 나는 수업이니까 괜찮은데 직장인이면 힘들 거 같아.,"2 : 그래서 평소엔 일찍 출발하는데, 가끔 생각지도 못하게 막힐 때가 있어."
193,1 : 사고 나면 엄청 늦어질텐데 힘들겠다.,2 : 그렇지만 대중교통도 출근시간엔 사람이 많아서 힘들어.
194,1 : 수중터널이 나오면 어떨까?,2 : 일본하고 잇는 수중터널 말하는거야?
195,1 : 응 그런데 뭔가 이용하기엔 무서울 거 같아서,2 : 마자 영화 터널 처럼 말이야
196,1 : 사고에 대비가 잘 안될거 같은 기분이 들어,2 : 사고가 나도 대응하기 힘들긴 할거 같아
197,1 : 사고에 대비가 잘 안될거 같은 기분이 들어,2 : 아무래도 낮은 곳이니 기압도 다를거고
198,1 : 신호위반 승차거부 차선물기 등등... 어떻게 해결해야할까?,2 : 택시 개체수가 너무 많은거 같아...
199,1 : 신호위반 승차거부 차선물기 등등... 어떻게 해결해야할까?,2 : 좀더 전문화 된 기사들을 뽑는게 좋지 않을까 싶어
200,1 : 맞아 우선 개체수부터 줄이고 제대로 된 교육도 필수지,2 : 택시보다 더 급선무인게 레카 아닐까? 무법자야 얘넨
201,1 : 사설 렉카들을 말하는 거구나 이친구들도 참 문제지,2 : 굳이 필요없는데 계속 운행하는거 보면 규제가 안되나봐
202,1 : 지난달 교통비 5만원 나왔어.,2 : 왜 그렇게 많이 나왔어?
203,1 : 맞아 서울 왔다갔다 하면 기본이 4천원이니까.,2 : 헉 비싸네. 그런 거 치고 별로 안 나왔다.
204,1 : 그리고 여행도 다녀왔더니 더 많이 나온 거 같아.,2 : 여행이면 완전 인정이다.
205,1 : 다음달에는 좀 작작 다녀야겠어.,2 : 집에만 있으면 심심하니까 그러지 말어.
206,1 : 운전 면허 학원 등록해야 하는데 떨린다.,2 : 언니 면허 없었구나.
207,1 : 그 동안 운전하는 거 자체가 무서워서 엄두를 못 냈지.,2 : 운전 막상 배우면 별거 아니야.
208,1 : 헉 너희 다 면허 있구나?,2 : 나 근데 딴지 너무 오래돼서 장롱면허야.
209,1 : 우리 여동생도 딴지 몇달만에 장롱행 됐어.,2 : 언니 두려움을 버려.
210,1 : 오랜만에 자전거 타고 싶어.,2 : 나도 안 탄지 엄청 오래됐어.
211,1 : 한 번 배우면 타기 쉬운데.,2 :  내가 자전거 타는 법 알려줄게.
212,"1 : 응, 나는 자주 타서 자전거 있어.",2 : 나는 옛날에 쓰던 거 있어.
213,"1 : 응, 상태 안 좋을 수도 있어.",2 : 그래서 자전거 점검하러 가려고.
214,1 : 나 오늘 출근하는데 한 시간 걸렸다 ㅠ 버스 너무 막혀,2 : 나는 집가까운 곳으로 출근해서 걸어서 왔어
215,1 : 버스는 막히면 진짜 한참 걸리잖아 ㅠㅠ,2 : 맞아 진짜 메리트가 큰 거 같아.
216,1 : 버스는 막히면 진짜 한참 걸리잖아 ㅠㅠ,2 : 예전에 회사 다닐 때는 왕복 3시간 이상 걸렸었거든ㅠㅠ
217,1 : 그래도 지하철은 막히진 않아서 나름 괜찮아,2 : 예전에 서울에서 살 때는 진짜 처음에 충격 받았었어.
218,1 : 그래도 지하철은 막히진 않아서 나름 괜찮아,2 : 사람들이 지하철을 왜 지옥철이라고 부르는 지 알겠더라고.
219,1 : 서울 지하철에 사람이 좀 많긴 하지 ㅠㅠ,2 : 그래도 대중교통이 가격도 저렴하고 환승도 할 수 있어서 자주 이용하는 거 같아
220,1 : 길거리에 있는 전동킥보드 이대로 괜찮을까?,2 : 너무 여기저기 주차되어있더라
221,1 : 길거리에 있는 전동킥보드 이대로 괜찮을까?,2 : 그렇구나 시각장애인 분들에게 더 위험하겠네
222,1 : 분명 잘 관리된다면 편리한 부분이 많을텐데 유독 통제가 안되더라고,2 : 아무래도 제도가 만들어 지기 전에 업체들이 먼저 들어와서 그런거 같아
223,1 : 헬멧쓰라고 하는데 아직도 안쓰는 사람 많더라 그거 다 위법인데,2 : 맞아 아무래도 귀찮으니 계속 안쓰고 타나봐
224,1 : 대중교통 무임승차에 대해 어떻게 생각해?,2 : 그 작은 돈에 양심을 파는 건 좀 아니라고 봐.
225,1 : 그렇지? 나도 예전에 실수로 카드를 안 찍고 탔다가 기사님이 뭐라고 하신 적이 있는데 너무 부끄럽더라,2 : 난 돈을 실수로 덜 낸 적 있었는데 사람들이 쳐다 봐서 너무 창피했어.
226,1 : 가끔 보면 어른들이 고의로 무임승차하고 그러더라고,2 : 정말? 어떤 상황에서 그랬어? 조금 실망이네
227,1 : 사람이 막 몰려서 누가 찍었는지 모를 상황이었는데 눈치 보시더니 그냥 가시더라고,2 : 와 너무하시네. 그리고 그냥 타신거야?
228,1 : 응. 내가 계속 봤는데 결국 그냥 돈 안내시고 내리시더라,2 : 내가 다 부끄럽네... 왜 그러셨을까.
229,1 : 요새 자율주행차가 뜨는거 같더라,2 : 아직은 시기상조인 느낌이 들던데...
230,1 : 그래도 최소한 운전면허는 있어야 하지 않을까?,2 : 만일의 상황에서 어떻게 될지 모르니까 말이야
231,1 : 운전을 해보니까 짧게 운전 하더라도 신경써야 할게 많으니까 스트레스가 있어,2 : 그걸 보완하는게 자율주행 아닐까? 편리하긴 할거야.
232,1 : 나도 그건 동의해 지금 문제가 있는점만 해결이 된다면 타고다닐 의향이 있어,2 : 불안한게 더 크긴 하지만 장점이 훨씬 많다고 생각해
233,1 : 나 운전면허를 따려는데 1종이 좋을까 2종이 좋을까?,2 : 나라면 무조건 2종을 딸 것 같아.
234,1 : 말이 갈리네. 다들 이유가 뭐야?,2 : 솔직히 요즘 스틱인 차가 어딨어. 다 오토잖아~
235,1 : 말이 갈리네. 다들 이유가 뭐야?,2 : 굳이 힘들게 1종 따지 말고 편하고 쉽게 2종 따는 게 맞지 않을까?
